state,answer_set,facility_name,age,count,n_respondents,pct_of_respondents
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",36 - 45,301,878,0.3428246013667426
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",26 - 35,288,878,0.32801822323462415
IL,all-surveys,"Cook County, IL",26 - 35,189,561,0.33689839572192515
IL,all-surveys,"Cook County, IL",36 - 45,148,561,0.2638146167557932
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",46 - 55,123,878,0.14009111617312073
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",18 - 25,114,878,0.12984054669703873
CA,all-surveys,"Santa Clara County, CA",26 - 35,110,354,0.3107344632768362
CA,all-surveys,"Sacramento County Sheriff's Office, CA",36 - 45,107,296,0.3614864864864865
CA,all-surveys,"Santa Clara County, CA",36 - 45,103,354,0.2909604519774011
CA,all-surveys,"Sacramento County Sheriff's Office, CA",26 - 35,97,296,0.3277027027027027
IL,all-surveys,"Cook County, IL",18 - 25,89,561,0.1586452762923351
TX,all-surveys,"Travis County Jail, TX",36 - 45,83,207,0.40096618357487923
CA,all-surveys,"Fresno County, CA",36 - 45,78,226,0.34513274336283184
IL,all-surveys,"Cook County, IL",46 - 55,74,561,0.1319073083778966
OH,all-surveys,"Cuyahoga County Justice Center, OH",36 - 45,73,235,0.31063829787234043
OH,all-surveys,"Cuyahoga County Justice Center, OH",26 - 35,70,235,0.2978723404255319
AZ,all-surveys,"Pima County Jail, AZ",26 - 35,69,206,0.33495145631067963
CA,all-surveys,"Fresno County, CA",26 - 35,67,226,0.29646017699115046
AZ,all-surveys,"Pima County Jail, AZ",36 - 45,66,206,0.32038834951456313
FL,all-surveys,"Hillsborough County Sheriff's Office, FL",36 - 45,65,183,0.3551912568306011
TX,all-surveys,"Travis County Jail, TX",26 - 35,65,207,0.3140096618357488
CA,all-surveys,"Stanislaus County, CA",26 - 35,64,173,0.3699421965317919
CA,all-surveys,"Orange County, CA - Theo Lacy",26 - 35,60,136,0.4411764705882353
CO,all-surveys,"Denver County Jail, CO",36 - 45,60,149,0.40268456375838924
CA,all-surveys,"Santa Clara County, CA",46 - 55,59,354,0.16666666666666666
FL,all-surveys,"Hillsborough County Sheriff's Office, FL",26 - 35,58,183,0.31693989071038253
IL,all-surveys,"Winnebago County, IL",36 - 45,57,154,0.37012987012987014
CA,all-surveys,"Stanislaus County, CA",36 - 45,53,173,0.3063583815028902
CO,all-surveys,"Weld County, CO",26 - 35,53,132,0.4015151515151515
IL,all-surveys,"Winnebago County, IL",26 - 35,53,154,0.34415584415584416
TX,all-surveys,"MTC: Giles Dalby, TX",26 - 35,53,131,0.40458015267175573
NY,all-surveys,"Pasco County Corrections, FL",36 - 45,52,148,0.35135135135135137
OH,all-surveys,"Cuyahoga County Justice Center, OH",18 - 25,52,235,0.22127659574468084
CA,all-surveys,"Santa Clara County, CA",18 - 25,49,354,0.1384180790960452
TN,all-surveys,"Davidson County Detention Center, TN",26 - 35,46,118,0.3898305084745763
WV,all-surveys,WV DCR North Central Regional Jail,36 - 45,46,114,0.40350877192982454
VA,all-surveys,"Virginia Beach Correctional Facility, VA",36 - 45,44,109,0.4036697247706422
CO,all-surveys,"Weld County, CO",36 - 45,42,132,0.3181818181818182
PA,all-surveys,"Lackawana County, PA",36 - 45,42,116,0.3620689655172414
CA,all-surveys,"Fresno County, CA",46 - 55,41,226,0.18141592920353983
PA,all-surveys,"Montgomery County Correctional Facility, PA",36 - 45,41,93,0.44086021505376344
CO,all-surveys,"Mesa County, CO",36 - 45,40,94,0.425531914893617
CA,all-surveys,"Orange County, CA - Central Jail Complex",36 - 45,39,104,0.375
CA,all-surveys,"San Joaquin County Jail, CA",36 - 45,39,94,0.4148936170212766
DC,all-surveys,DC DOC: Central Detention Facility,26 - 35,39,82,0.47560975609756095
PA,all-surveys,"Dauphin County Jail, PA",26 - 35,39,118,0.3305084745762712
AZ,all-surveys,"Pima County Jail, AZ",46 - 55,38,206,0.18446601941747573
CA,all-surveys,"Orange County, CA - Theo Lacy",36 - 45,38,136,0.27941176470588236
CA,all-surveys,"Sacramento County Sheriff's Office, CA",46 - 55,38,296,0.12837837837837837
CO,all-surveys,"Denver County Jail, CO",26 - 35,38,149,0.2550335570469799
CO,all-surveys,"Pueblo County, CO",36 - 45,38,93,0.40860215053763443
NY,all-surveys,"Monroe County Sheriff's Department, NY",26 - 35,37,87,0.42528735632183906
WA,all-surveys,"Yakima County, WA",36 - 45,37,108,0.3425925925925926
MI,all-surveys,"Kent County, MI ",36 - 45,36,100,0.36
PA,all-surveys,"Dauphin County Jail, PA",36 - 45,36,118,0.3050847457627119
PA,all-surveys,"Lackawana County, PA",26 - 35,36,116,0.3103448275862069
TX,all-surveys,"MTC: Giles Dalby, TX",18 - 25,36,131,0.2748091603053435
WA,all-surveys,"Yakima County, WA",26 - 35,36,108,0.3333333333333333
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",56 - 65,35,878,0.03986332574031891
MO,all-surveys,"St. Louis County Jail, MO",26 - 35,35,94,0.3723404255319149
NY,all-surveys,"Pasco County Corrections, FL",26 - 35,35,148,0.23648648648648649
TN,all-surveys,"Sullivan County Jail, TN",36 - 45,34,86,0.3953488372093023
TX,all-surveys,"Travis County Jail, TX",46 - 55,34,207,0.1642512077294686
FL,all-surveys,"Hillsborough County Sheriff's Office, FL",46 - 55,33,183,0.18032786885245902
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",18 - 25,33,111,0.2972972972972973
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",26 - 35,33,111,0.2972972972972973
VA,all-surveys,"Virginia Beach Correctional Facility, VA",26 - 35,33,109,0.30275229357798167
CA,all-surveys,"Madera County, CA",26 - 35,32,95,0.3368421052631579
CA,all-surveys,"Sacramento County Sheriff's Office, CA",18 - 25,32,296,0.10810810810810811
TN,all-surveys,"Davidson County Detention Center, TN",36 - 45,32,118,0.2711864406779661
UT,all-surveys,"Salt Lake City County, UT",36 - 45,32,68,0.47058823529411764
VA,all-surveys,"Rappahannock Regional Jail, VA",36 - 45,32,75,0.4266666666666667
CA,all-surveys,"Orange County, CA - Central Jail Complex",26 - 35,31,104,0.2980769230769231
CA,all-surveys,"Ventura County Sheriff's Office, CA",36 - 45,31,101,0.3069306930693069
CO,all-surveys,"Jefferson County Detention Facility, CO",36 - 45,31,76,0.40789473684210525
IN,all-surveys,"Hamilton County Main Jail, IN",26 - 35,31,96,0.3229166666666667
IN,all-surveys,"Hamilton County Main Jail, IN",36 - 45,31,96,0.3229166666666667
NC,all-surveys,"Cumberland County, NC",36 - 45,31,83,0.37349397590361444
NY,all-surveys,"Albany County Correctional Facility, NY",36 - 45,31,88,0.3522727272727273
OH,all-surveys,"Mahoning County Justice Center, OH",36 - 45,31,83,0.37349397590361444
TX,all-surveys,"MTC: Giles Dalby, TX",36 - 45,31,131,0.2366412213740458
CA,all-surveys,"Stanislaus County, CA",46 - 55,30,173,0.17341040462427745
CA,all-surveys,"Ventura County Sheriff's Office, CA",26 - 35,30,101,0.297029702970297
FL,all-surveys,"Leon County Jail, FL",26 - 35,30,94,0.3191489361702128
PA,all-surveys,"Montgomery County Correctional Facility, PA",26 - 35,30,93,0.3225806451612903
VA,all-surveys,"Chesapeake Correctional Center, VA",36 - 45,30,75,0.4
WA,all-surveys,"Spokane County Jail, WA",36 - 45,30,79,0.379746835443038
FL,all-surveys,"Leon County Jail, FL",36 - 45,29,94,0.30851063829787234
IL,all-surveys,"Cook County, IL",56 - 65,29,561,0.05169340463458111
NY,all-surveys,"Pasco County Corrections, FL",46 - 55,29,148,0.19594594594594594
FL,all-surveys,"Pinellas County Jail, FL",26 - 35,28,87,0.3218390804597701
FL,all-surveys,"Pinellas County Jail, FL",36 - 45,28,87,0.3218390804597701
GA,all-surveys,"Athens Clarke County Jail, GA",36 - 45,28,67,0.417910447761194
MI,all-surveys,"Kent County, MI ",26 - 35,28,100,0.28
OH,all-surveys,"Mahoning County Justice Center, OH",26 - 35,28,83,0.3373493975903614
PA,all-surveys,"Westmoreland County, PA",36 - 45,28,90,0.3111111111111111
TX,all-surveys,"Collin County, TX ",26 - 35,28,68,0.4117647058823529
TX,all-surveys,"McLennan County, TX",36 - 45,28,81,0.345679012345679
CA,all-surveys,"San Joaquin County Jail, CA",26 - 35,27,94,0.2872340425531915
CO,all-surveys,"Mesa County, CO",26 - 35,27,94,0.2872340425531915
NE,all-surveys,"Lancaster County, NE",36 - 45,27,76,0.35526315789473684
NY,all-surveys,"Albany County Correctional Facility, NY",26 - 35,27,88,0.3068181818181818
OH,all-surveys,"Cuyahoga County Justice Center, OH",46 - 55,27,235,0.1148936170212766
VA,all-surveys,"Roanoke City Adult Detention Center, VA",26 - 35,27,64,0.421875
FL,all-surveys,"Sarasota County, FL",36 - 45,26,65,0.4
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",36 - 45,26,111,0.23423423423423423
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",26 - 35,26,89,0.29213483146067415
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",36 - 45,26,89,0.29213483146067415
NY,all-surveys,"New York City Department of Correction, NY (NYC DOC)",36 - 45,26,70,0.37142857142857144
WA,all-surveys,"King County Adult Detention, WA",26 - 35,26,64,0.40625
WA,all-surveys,"Spokane County Jail, WA",26 - 35,26,79,0.3291139240506329
WV,all-surveys,WV DCR Tygart Valley Regional Jail,36 - 45,26,59,0.4406779661016949
CA,all-surveys,"Madera County, CA",36 - 45,25,95,0.2631578947368421
CO,all-surveys,"Larimer County, CO",36 - 45,25,46,0.5434782608695652
MA,all-surveys,"Suffolk County Jail, MA",36 - 45,25,70,0.35714285714285715
MO,all-surveys,"Cape Girardeau County Jail, MO",36 - 45,25,70,0.35714285714285715
NY,all-surveys,"New York City Department of Correction, NY (NYC DOC)",26 - 35,25,70,0.35714285714285715
TX,all-surveys,"Guadalupe County, TX",26 - 35,25,76,0.32894736842105265
CA,all-surveys,"Santa Barbara County, CA",36 - 45,24,72,0.3333333333333333
FL,all-surveys,"Okaloosa County Department of Corrections, FL",36 - 45,24,60,0.4
FL,all-surveys,Santa Rosa County FL,36 - 45,24,60,0.4
MO,all-surveys,"St. Louis County Jail, MO",36 - 45,24,94,0.2553191489361702
NY,all-surveys,"Monroe County Sheriff's Department, NY",36 - 45,24,87,0.27586206896551724
NY,all-surveys,"Suffolk County, NY ",26 - 35,24,71,0.3380281690140845
TX,all-surveys,"McLennan County, TX",26 - 35,24,81,0.2962962962962963
VA,all-surveys,"Rappahannock Regional Jail, VA",26 - 35,24,75,0.32
WI,all-surveys,"Brown County Jail, WI",36 - 45,24,71,0.3380281690140845
WV,all-surveys,WV DCR North Central Regional Jail,26 - 35,24,114,0.21052631578947367
CO,all-surveys,"Denver County Jail, CO",18 - 25,23,149,0.15436241610738255
FL,all-surveys,"Lee County, FL",36 - 45,23,59,0.3898305084745763
IN,all-surveys,"Elkhart County Jail, IN",26 - 35,23,57,0.40350877192982454
MA,all-surveys,"Essex County Middleton HOC, MA",26 - 35,23,71,0.323943661971831
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",18 - 25,23,89,0.25842696629213485
NY,all-surveys,"Niagara County Correctional Facility, NY",26 - 35,23,48,0.4791666666666667
PA,all-surveys,"Washington County, PA ",36 - 45,23,61,0.3770491803278688
TX,all-surveys,"Guadalupe County, TX",36 - 45,23,76,0.3026315789473684
TX,all-surveys,"Potter County Detention, TX",36 - 45,23,77,0.2987012987012987
WV,all-surveys,WV DCR North Central Regional Jail,46 - 55,23,114,0.20175438596491227
GA,all-surveys,"Cobb County, GA",26 - 35,22,59,0.3728813559322034
MI,all-surveys,"Macomb County, MI",26 - 35,22,55,0.4
PA,all-surveys,"Westmoreland County, PA",26 - 35,22,90,0.24444444444444444
VA,all-surveys,"Western Regional, VA",36 - 45,22,54,0.4074074074074074
AZ,all-surveys,"Pima County Jail, AZ",18 - 25,21,206,0.10194174757281553
CA,all-surveys,"Santa Clara County, CA",56 - 65,21,354,0.059322033898305086
CO,all-surveys,"Denver County Jail, CO",46 - 55,21,149,0.14093959731543623
IL,all-surveys,"Kane County, IL",26 - 35,21,68,0.3088235294117647
MA,all-surveys,"Bristol County House of Correction, MA",36 - 45,21,56,0.375
MA,all-surveys,"Middlesex County House of Corrections, MA",36 - 45,21,66,0.3181818181818182
MA,all-surveys,"Suffolk County Jail, MA",26 - 35,21,70,0.3
MI,all-surveys,"Macomb County, MI",36 - 45,21,55,0.38181818181818183
MO,all-surveys,"St. Louis County Jail, MO",18 - 25,21,94,0.22340425531914893
NY,all-surveys,"Albany County Correctional Facility, NY",18 - 25,21,88,0.23863636363636365
NY,all-surveys,"Erie County, NY",36 - 45,21,56,0.375
PA,all-surveys,"Allegheny County Jail, PA",26 - 35,21,53,0.39622641509433965
PA,all-surveys,"Berks County Jail, PA",36 - 45,21,59,0.3559322033898305
PA,all-surveys,"Dauphin County Jail, PA",18 - 25,21,118,0.17796610169491525
PA,all-surveys,"Lebanon County, PA",26 - 35,21,66,0.3181818181818182
PA,all-surveys,"Lebanon County, PA",36 - 45,21,66,0.3181818181818182
PA,all-surveys,"Westmoreland County, PA",46 - 55,21,90,0.23333333333333334
TN,all-surveys,"Sullivan County Jail, TN",46 - 55,21,86,0.2441860465116279
TX,all-surveys,"Collin County, TX ",36 - 45,21,68,0.3088235294117647
VA,all-surveys,"Roanoke City Adult Detention Center, VA",36 - 45,21,64,0.328125
CA,all-surveys,"Butte County, CA",26 - 35,20,56,0.35714285714285715
CA,all-surveys,"Butte County, CA",36 - 45,20,56,0.35714285714285715
CA,all-surveys,"Fresno County, CA",18 - 25,20,226,0.08849557522123894
CO,all-surveys,"Jefferson County Detention Facility, CO",26 - 35,20,76,0.2631578947368421
GA,all-surveys,"Cobb County, GA",36 - 45,20,59,0.3389830508474576
IL,all-surveys,"Kane County, IL",36 - 45,20,68,0.29411764705882354
NJ,all-surveys,"Essex County Correctional Facility, NJ",26 - 35,20,67,0.29850746268656714
NJ,all-surveys,"Essex County Correctional Facility, NJ",36 - 45,20,67,0.29850746268656714
NY,all-surveys,"Pasco County Corrections, FL",18 - 25,20,148,0.13513513513513514
PA,all-surveys,"Lackawana County, PA",46 - 55,20,116,0.1724137931034483
PA,all-surveys,"Lehigh County, PA",26 - 35,20,76,0.2631578947368421
SC,all-surveys,"Richland County Glenn Detention Center, SC",26 - 35,20,56,0.35714285714285715
TN,all-surveys,"Sullivan County Jail, TN",26 - 35,20,86,0.23255813953488372
UT,all-surveys,"Salt Lake City County, UT",26 - 35,20,68,0.29411764705882354
WV,all-surveys,WV DCR Central Regional Jail,26 - 35,20,41,0.4878048780487805
AZ,all-surveys,"Pinal County Jail, AZ",36 - 45,19,51,0.37254901960784315
CO,all-surveys,"Weld County, CO",18 - 25,19,132,0.14393939393939395
DC,all-surveys,DC DOC: Central Detention Facility,36 - 45,19,82,0.23170731707317074
FL,all-surveys,"Escambia County Jail, FL",36 - 45,19,54,0.35185185185185186
FL,all-surveys,"Leon County Jail, FL",18 - 25,19,94,0.20212765957446807
MA,all-surveys,"Essex County Middleton HOC, MA",36 - 45,19,71,0.2676056338028169
MA,all-surveys,"Worcester County Jail, MA",26 - 35,19,58,0.3275862068965517
NC,all-surveys,"Cumberland County, NC",26 - 35,19,83,0.2289156626506024
NY,all-surveys,"Suffolk County, NY ",46 - 55,19,71,0.2676056338028169
OH,all-surveys,"Lorain County, OH ",36 - 45,19,45,0.4222222222222222
PA,all-surveys,"Cambria County Prison, PA",36 - 45,19,41,0.4634146341463415
PA,all-surveys,"Lancaster County Prison, PA",26 - 35,19,59,0.3220338983050847
PA,all-surveys,"Lehigh County, PA",36 - 45,19,76,0.25
TX,all-surveys,"Potter County Detention, TX",26 - 35,19,77,0.24675324675324675
VA,all-surveys,"Pamunkey Regional Jail, VA",26 - 35,19,58,0.3275862068965517
VA,all-surveys,"Pamunkey Regional Jail, VA",36 - 45,19,58,0.3275862068965517
WV,all-surveys,WV DCR Southwestern Regional Jail,26 - 35,19,47,0.40425531914893614
AL,all-surveys,"Etowah County Jail, AL",26 - 35,18,53,0.33962264150943394
CA,all-surveys,"Madera County, CA",46 - 55,18,95,0.18947368421052632
CA,all-surveys,"Orange County, CA - Theo Lacy",18 - 25,18,136,0.1323529411764706
CA,all-surveys,"Santa Barbara County, CA",26 - 35,18,72,0.25
CA,all-surveys,"Stanislaus County, CA",18 - 25,18,173,0.10404624277456648
CA,all-surveys,"Ventura County Sheriff's Office, CA",18 - 25,18,101,0.1782178217821782
CO,all-surveys,"Douglas Detention Center, CO",36 - 45,18,42,0.42857142857142855
CO,all-surveys,"Pueblo County, CO",26 - 35,18,93,0.1935483870967742
FL,all-surveys,"Hillsborough County Sheriff's Office, FL",18 - 25,18,183,0.09836065573770492
GA,all-surveys,"Athens Clarke County Jail, GA",26 - 35,18,67,0.26865671641791045
IL,all-surveys,"Winnebago County, IL",18 - 25,18,154,0.11688311688311688
NC,all-surveys,"Cumberland County, NC",18 - 25,18,83,0.21686746987951808
NJ,all-surveys,"Burlington County Department of Corrections, NJ",36 - 45,18,47,0.3829787234042553
NY,all-surveys,"Suffolk County, NY ",36 - 45,18,71,0.2535211267605634
OH,all-surveys,"Summit County, OH",26 - 35,18,49,0.3673469387755102
VA,all-surveys,"Chesapeake Correctional Center, VA",26 - 35,18,75,0.24
CA,all-surveys,"Sacramento County Sheriff's Office, CA",56 - 65,17,296,0.057432432432432436
CO,all-surveys,"Pueblo County, CO",46 - 55,17,93,0.1827956989247312
FL,all-surveys,"Sarasota County, FL",26 - 35,17,65,0.26153846153846155
GA,all-surveys,"Bibb County Jail, GA",26 - 35,17,50,0.34
GA,all-surveys,"Bibb County Jail, GA",36 - 45,17,50,0.34
MA,all-surveys,"Worcester County Jail, MA",36 - 45,17,58,0.29310344827586204
MO,all-surveys,"Cape Girardeau County Jail, MO",26 - 35,17,70,0.24285714285714285
NE,all-surveys,"Lancaster County, NE",46 - 55,17,76,0.2236842105263158
NJ,all-surveys,"Bergen County, NJ",26 - 35,17,51,0.3333333333333333
PA,all-surveys,"Dauphin County Jail, PA",46 - 55,17,118,0.1440677966101695
PA,all-surveys,"Lancaster County Prison, PA",36 - 45,17,59,0.288135593220339
PA,all-surveys,"Lehigh County, PA",46 - 55,17,76,0.2236842105263158
PA,all-surveys,"Washington County, PA ",26 - 35,17,61,0.2786885245901639
SC,all-surveys,"Richland County Glenn Detention Center, SC",36 - 45,17,56,0.30357142857142855
