state,answer_set,facility_name,age,count,n_respondents,pct_of_respondents
ME,all-surveys,"Two Bridges Regional, ME",26 - 35,9,24,0.375
MI,all-surveys,"Washtenaw County Jail, MI",26 - 35,9,24,0.375
NC,all-surveys,Durham County NC - Detention Facility,36 - 45,9,25,0.36
NE,all-surveys,"Scotts Bluff County Detention Center, NE",26 - 35,9,31,0.2903225806451613
NE,all-surveys,"Scotts Bluff County Detention Center, NE",36 - 45,9,31,0.2903225806451613
NH,all-surveys,"Hillsborough County House of Corrections, NH",36 - 45,9,24,0.375
NJ,all-surveys,"Hudson County Corrections Center, NJ",26 - 35,9,32,0.28125
NJ,all-surveys,"Hudson County Corrections Center, NJ",36 - 45,9,32,0.28125
NM,all-surveys,"Curry County Detention Center, NM",36 - 45,9,27,0.3333333333333333
NM,all-surveys,"Eddy County Detention Center, NM",36 - 45,9,29,0.3103448275862069
NY,all-surveys,"Delaware County Correctional Facility, NY",36 - 45,9,18,0.5
NY,all-surveys,"New York City Department of Correction, NY (NYC DOC)",18 - 25,9,70,0.12857142857142856
NY,all-surveys,"Onondaga County-Justice Center, NY",18 - 25,9,39,0.23076923076923078
NY,all-surveys,"Onondaga County-Justice Center, NY",36 - 45,9,39,0.23076923076923078
OH,all-surveys,"Greene County, OH: Adult Detention",18 - 25,9,25,0.36
OH,all-surveys,"Lorain County, OH ",46 - 55,9,45,0.2
OH,all-surveys,"Medina County Jail, OH",36 - 45,9,21,0.42857142857142855
OH,all-surveys,"Portage County, OH",46 - 55,9,31,0.2903225806451613
OH,all-surveys,"Scioto County, OH ",36 - 45,9,15,0.6
OH,all-surveys,"Summit County, OH",36 - 45,9,49,0.1836734693877551
OH,all-surveys,"Summit County, OH",46 - 55,9,49,0.1836734693877551
PA,all-surveys,"Berks County Jail, PA",46 - 55,9,59,0.15254237288135594
PA,all-surveys,"Bucks County Correctional Facility, PA",26 - 35,9,22,0.4090909090909091
PA,all-surveys,"Cambria County Prison, PA",46 - 55,9,41,0.21951219512195122
PA,all-surveys,"Cumberland County Prison, PA",26 - 35,9,25,0.36
PA,all-surveys,"Franklin County, PA",46 - 55,9,33,0.2727272727272727
SC,all-surveys,"Clarendon County, SC",36 - 45,9,20,0.45
TN,all-surveys,"Rhea County Jail, TN",26 - 35,9,13,0.6923076923076923
TX,all-surveys,"Guadalupe County, TX",18 - 25,9,76,0.11842105263157894
TX,all-surveys,"Hunt County, TX",36 - 45,9,25,0.36
TX,all-surveys,"Johnson County, TX",46 - 55,9,50,0.18
TX,all-surveys,"Wichita County, TX ",26 - 35,9,35,0.2571428571428571
UT,all-surveys,"Iron County, UT",36 - 45,9,20,0.45
VA,all-surveys,"Meherrin River Alberta, VA",36 - 45,9,25,0.36
VA,all-surveys,"Pamunkey Regional Jail, VA",46 - 55,9,58,0.15517241379310345
VA,all-surveys,"Roanoke City Adult Detention Center, VA",46 - 55,9,64,0.140625
WA,all-surveys,"King County Adult Detention, WA",46 - 55,9,64,0.140625
WA,all-surveys,"Spokane County Jail, WA",18 - 25,9,79,0.11392405063291139
WI,all-surveys,"Dodge County, WI",46 - 55,9,33,0.2727272727272727
WI,all-surveys,"Rock County, WI",36 - 45,9,37,0.24324324324324326
WI,all-surveys,"Sheboygan County Jail, WI",26 - 35,9,30,0.3
AL,all-surveys,"Etowah County Jail, AL",46 - 55,8,53,0.1509433962264151
AL,all-surveys,"Montgomery County, AL",18 - 25,8,29,0.27586206896551724
CA,all-surveys,"Alameda County-Santa Rita, CA",46 - 55,8,41,0.1951219512195122
CA,all-surveys,"Orange County, CA - Central Jail Complex",56 - 65,8,104,0.07692307692307693
CA,all-surveys,"Santa Clara County, CA",66+,8,354,0.022598870056497175
CA,all-surveys,"Tehama County, CA",36 - 45,8,20,0.4
CA,all-surveys,"Tulare County, CA-Bob Wiley Detention ",26 - 35,8,12,0.6666666666666666
FL,all-surveys,"Nassau County, FL",46 - 55,8,30,0.26666666666666666
FL,all-surveys,"Okaloosa County Department of Corrections, FL",46 - 55,8,60,0.13333333333333333
FL,all-surveys,Santa Rosa County FL,46 - 55,8,60,0.13333333333333333
FL,all-surveys,Santa Rosa County FL,56 - 65,8,60,0.13333333333333333
GA,all-surveys,"Athens Clarke County Jail, GA",46 - 55,8,67,0.11940298507462686
GA,all-surveys,"Catoosa County Jail, GA",36 - 45,8,21,0.38095238095238093
GA,all-surveys,"Cobb County, GA",18 - 25,8,59,0.13559322033898305
GA,all-surveys,"Columbia County Detention Center, GA",36 - 45,8,31,0.25806451612903225
IA,all-surveys,"Polk County, IA ",46 - 55,8,44,0.18181818181818182
IL,all-surveys,"DuPage County Jail, IL",26 - 35,8,30,0.26666666666666666
IL,all-surveys,Edovo Go - General,36 - 45,8,15,0.5333333333333333
IL,all-surveys,"Madison County, IL",26 - 35,8,20,0.4
IN,all-surveys,"Boone County, IN",36 - 45,8,31,0.25806451612903225
IN,all-surveys,"Elkhart County Jail, IN",56 - 65,8,57,0.14035087719298245
IN,all-surveys,"Floyd County Jail, IN",26 - 35,8,25,0.32
IN,all-surveys,"Floyd County Jail, IN",36 - 45,8,25,0.32
KS,all-surveys,"Shawnee County Detention Center, KS",18 - 25,8,38,0.21052631578947367
KY,all-surveys,"Lexington-Fayette County Detention Center, KY",36 - 45,8,27,0.2962962962962963
MA,all-surveys,"Barnstable County Correctional Facility, MA",26 - 35,8,29,0.27586206896551724
MA,all-surveys,"Norfolk County Jail, MA",36 - 45,8,30,0.26666666666666666
MD,all-surveys,"Prince Georges County DOC, MD",26 - 35,8,15,0.5333333333333333
ME,all-surveys,"Two Bridges Regional, ME",36 - 45,8,24,0.3333333333333333
MI,all-surveys,"Livingston County, MI",36 - 45,8,32,0.25
MT,all-surveys,"Missoula County, MT",26 - 35,8,22,0.36363636363636365
MT,all-surveys,"Missoula County, MT",36 - 45,8,22,0.36363636363636365
NC,all-surveys,"Onslow County Jail, NC",36 - 45,8,33,0.24242424242424243
NJ,all-surveys,"Cumberland County Jail, NJ",26 - 35,8,24,0.3333333333333333
NY,all-surveys,"Chautauqua County, NY",18 - 25,8,38,0.21052631578947367
NY,all-surveys,"New York City Department of Correction, NY (NYC DOC)",46 - 55,8,70,0.11428571428571428
OH,all-surveys,"Muskingum County, OH",36 - 45,8,27,0.2962962962962963
PA,all-surveys,"Allegheny County Jail, PA",18 - 25,8,53,0.1509433962264151
PA,all-surveys,"Chester County Prison, PA",36 - 45,8,32,0.25
PA,all-surveys,"Chester County Prison, PA",46 - 55,8,32,0.25
PA,all-surveys,"Columbia County, PA",26 - 35,8,22,0.36363636363636365
PA,all-surveys,"Delaware County, PA",46 - 55,8,37,0.21621621621621623
PA,all-surveys,"Franklin County, PA",36 - 45,8,33,0.24242424242424243
PA,all-surveys,"Lancaster County Prison, PA",46 - 55,8,59,0.13559322033898305
PA,all-surveys,"Montgomery County Correctional Facility, PA",18 - 25,8,93,0.08602150537634409
SC,all-surveys,"Richland County Glenn Detention Center, SC",18 - 25,8,56,0.14285714285714285
TN,all-surveys,"Hamilton County, TN",46 - 55,8,47,0.1702127659574468
TX,all-surveys,"Collin County, TX ",18 - 25,8,68,0.11764705882352941
TX,all-surveys,"Collin County, TX ",46 - 55,8,68,0.11764705882352941
VA,all-surveys,"Arlington County Detention Center, VA",36 - 45,8,33,0.24242424242424243
VA,all-surveys,"Blue Ridge Regional Jail Authority, VA",26 - 35,8,28,0.2857142857142857
VA,all-surveys,"Blue Ridge Regional Jail Authority, VA",36 - 45,8,28,0.2857142857142857
VA,all-surveys,"Botetourt Craig Public Safety Facility, VA",26 - 35,8,16,0.5
VA,all-surveys,"Henrico County Sheriff's Office, VA",26 - 35,8,24,0.3333333333333333
VA,all-surveys,"Henrico County Sheriff's Office, VA",36 - 45,8,24,0.3333333333333333
VA,all-surveys,"Rappahannock Regional Jail, VA",18 - 25,8,75,0.10666666666666667
VA,all-surveys,"Virginia Beach Correctional Facility, VA",46 - 55,8,109,0.07339449541284404
WI,all-surveys,"Brown County Jail, WI",56 - 65,8,71,0.11267605633802817
WI,all-surveys,"Dodge County, WI",26 - 35,8,33,0.24242424242424243
WI,all-surveys,"Ozaukee County, WI",36 - 45,8,13,0.6153846153846154
WV,all-surveys,WV DCR Eastern Regional Jail,36 - 45,8,20,0.4
WV,all-surveys,WV DCR Southwestern Regional Jail,46 - 55,8,47,0.1702127659574468
WV,all-surveys,WV DCR Western Regional Jail,46 - 55,8,41,0.1951219512195122
AL,all-surveys,"Riverside Regional, VA",26 - 35,7,36,0.19444444444444445
AZ,all-surveys,"Apache County Jail, AZ",18 - 25,7,22,0.3181818181818182
AZ,all-surveys,"Apache County Jail, AZ",36 - 45,7,22,0.3181818181818182
AZ,all-surveys,"Pima County Jail, AZ",56 - 65,7,206,0.03398058252427184
CA,all-surveys,"Lassen County, CA",36 - 45,7,17,0.4117647058823529
CA,all-surveys,"Madera County, CA",56 - 65,7,95,0.07368421052631578
CA,all-surveys,"Orange County, CA - Central Jail Complex",46 - 55,7,104,0.0673076923076923
CA,all-surveys,"Sonoma County, CA",46 - 55,7,42,0.16666666666666666
CA,all-surveys,"Tuolumne-Dambacher Detention Center, CA",36 - 45,7,17,0.4117647058823529
FL,all-surveys,"Lake County Detention Center, FL",46 - 55,7,29,0.2413793103448276
FL,all-surveys,"Monroe County-Key West, FL",46 - 55,7,26,0.2692307692307692
GA,all-surveys,"Cobb County, GA",46 - 55,7,59,0.11864406779661017
GA,all-surveys,"Columbia County Detention Center, GA",46 - 55,7,31,0.22580645161290322
GA,all-surveys,"Forsyth County Detention Center, GA",26 - 35,7,20,0.35
GA,all-surveys,"Forsyth County Detention Center, GA",36 - 45,7,20,0.35
ID,all-surveys,"Bonneville County, ID",36 - 45,7,20,0.35
IL,all-surveys,"Cook County, IL",66+,7,561,0.012477718360071301
IL,all-surveys,"DuPage County Jail, IL",18 - 25,7,30,0.23333333333333334
IN,all-surveys,"Boone County, IN",26 - 35,7,31,0.22580645161290322
IN,all-surveys,"La Port County Jail, IN",18 - 25,7,37,0.1891891891891892
IN,all-surveys,"La Port County Jail, IN",46 - 55,7,37,0.1891891891891892
KS,all-surveys,"Butler County Corrections, KS",26 - 35,7,14,0.5
KS,all-surveys,"Wyandotte County Detention Facility, KS",26 - 35,7,14,0.5
KY,all-surveys,"Clay County Detention Center, KY",36 - 45,7,13,0.5384615384615384
MA,all-surveys,"Plymouth County Correctional Facility, MA",18 - 25,7,39,0.1794871794871795
MA,all-surveys,"Suffolk County Jail, MA",56 - 65,7,70,0.1
MA,all-surveys,"Worcester County Jail, MA",18 - 25,7,58,0.1206896551724138
MD,all-surveys,"Anne Arundel County, MD",36 - 45,7,20,0.35
MD,all-surveys,"Anne Arundel County, MD",46 - 55,7,20,0.35
ME,all-surveys,"Cumberland County Jail, ME",26 - 35,7,16,0.4375
MI,all-surveys,"Kalamazoo County, MI",26 - 35,7,24,0.2916666666666667
MI,all-surveys,"Livingston County, MI",46 - 55,7,32,0.21875
MI,all-surveys,"Muskegon County Jail, MI",36 - 45,7,17,0.4117647058823529
MO,all-surveys,"Marion County, MO ",36 - 45,7,12,0.5833333333333334
MO,all-surveys,"St. Louis County Jail, MO",46 - 55,7,94,0.07446808510638298
NC,all-surveys,"New Hanover County Detention Center, NC",26 - 35,7,24,0.2916666666666667
NC,all-surveys,"Onslow County Jail, NC",18 - 25,7,33,0.21212121212121213
NE,all-surveys,"Lancaster County, NE",56 - 65,7,76,0.09210526315789473
NJ,all-surveys,"Bergen County, NJ",46 - 55,7,51,0.13725490196078433
NJ,all-surveys,"Burlington County Department of Corrections, NJ",46 - 55,7,47,0.14893617021276595
NJ,all-surveys,"Hudson County Corrections Center, NJ",18 - 25,7,32,0.21875
NJ,all-surveys,"Mercer County Correction Center, NJ",36 - 45,7,16,0.4375
NJ,all-surveys,"Ocean County, NJ",26 - 35,7,23,0.30434782608695654
NY,all-surveys,"Erie County, NY",46 - 55,7,56,0.125
NY,all-surveys,"Monroe County Sheriff's Department, NY",46 - 55,7,87,0.08045977011494253
NY,all-surveys,"Pasco County Corrections, FL",56 - 65,7,148,0.0472972972972973
OH,all-surveys,"Ashland County, OH ",36 - 45,7,17,0.4117647058823529
OH,all-surveys,Corrections Center of NW Ohio,18 - 25,7,45,0.15555555555555556
OH,all-surveys,"Medina County Jail, OH",26 - 35,7,21,0.3333333333333333
OH,all-surveys,"Muskingum County, OH",26 - 35,7,27,0.25925925925925924
OH,all-surveys,"Summit County, OH",18 - 25,7,49,0.14285714285714285
OR,all-surveys,"Lincoln County, OR",46 - 55,7,40,0.175
PA,all-surveys,"Allegheny County Jail, PA",46 - 55,7,53,0.1320754716981132
PA,all-surveys,"Venango County Prison, PA",26 - 35,7,16,0.4375
PA,all-surveys,"York County, PA",26 - 35,7,18,0.3888888888888889
SC,all-surveys,"Aiken County, SC",36 - 45,7,19,0.3684210526315789
SC,all-surveys,"Richland County Glenn Detention Center, SC",46 - 55,7,56,0.125
TN,all-surveys,"Sullivan County Jail, TN",56 - 65,7,86,0.08139534883720931
TX,all-surveys,"Hunt County, TX",26 - 35,7,25,0.28
TX,all-surveys,"MTC: Giles Dalby, TX",46 - 55,7,131,0.05343511450381679
UT,all-surveys,"Beaver County, UT",18 - 25,7,39,0.1794871794871795
UT,all-surveys,"Beaver County, UT",46 - 55,7,39,0.1794871794871795
UT,all-surveys,"Weber County Correctional Facility, UT",26 - 35,7,21,0.3333333333333333
VA,all-surveys,"Arlington County Detention Center, VA",18 - 25,7,33,0.21212121212121213
VA,all-surveys,"Chesapeake Correctional Center, VA",56 - 65,7,75,0.09333333333333334
VA,all-surveys,"Meherrin River Alberta, VA",26 - 35,7,25,0.28
VA,all-surveys,"Middle Peninsula Regional Jail, VA",36 - 45,7,16,0.4375
WA,all-surveys,"Whatcom County, WA - Main Jail",18 - 25,7,49,0.14285714285714285
WI,all-surveys,"Rock County, WI",26 - 35,7,37,0.1891891891891892
WV,all-surveys,WV DCR Potomac Highlands Regional Jail,26 - 35,7,20,0.35
WV,all-surveys,WV DCR Tygart Valley Regional Jail,18 - 25,7,59,0.11864406779661017
AL,all-surveys,"Montgomery County, AL",36 - 45,6,29,0.20689655172413793
AZ,all-surveys,"Pinal County Jail, AZ",46 - 55,6,51,0.11764705882352941
AZ,all-surveys,"Yavapai County Jail, AZ",26 - 35,6,36,0.16666666666666666
CA,all-surveys,"Alameda County-Santa Rita, CA",18 - 25,6,41,0.14634146341463414
CA,all-surveys,"Nevada County, CA",26 - 35,6,12,0.5
CA,all-surveys,"Tuolumne-Dambacher Detention Center, CA",26 - 35,6,17,0.35294117647058826
FL,all-surveys,"Bay County, FL",46 - 55,6,35,0.17142857142857143
FL,all-surveys,"Citrus County Detention Facility, FL",46 - 55,6,29,0.20689655172413793
FL,all-surveys,"Escambia County Jail, FL",56 - 65,6,54,0.1111111111111111
FL,all-surveys,"Monroe County-Key West, FL",26 - 35,6,26,0.23076923076923078
FL,all-surveys,"Monroe County-Key West, FL",36 - 45,6,26,0.23076923076923078
FL,all-surveys,"Okaloosa County Department of Corrections, FL",18 - 25,6,60,0.1
FL,all-surveys,"St. Lucie County Jail, FL",26 - 35,6,26,0.23076923076923078
FL,all-surveys,"St. Lucie County Jail, FL",46 - 55,6,26,0.23076923076923078
GA,all-surveys,"Athens Clarke County Jail, GA",18 - 25,6,67,0.08955223880597014
GA,all-surveys,"Hall County Jail, GA",36 - 45,6,11,0.5454545454545454
IL,all-surveys,"Madison County, IL",36 - 45,6,20,0.3
IL,all-surveys,"Vermilion County Jail, IL",46 - 55,6,19,0.3157894736842105
IL,all-surveys,"Winnebago County, IL",56 - 65,6,154,0.03896103896103896
KS,all-surveys,"Douglas County, KS",46 - 55,6,34,0.17647058823529413
KY,all-surveys,"Lexington-Fayette County Detention Center, KY",18 - 25,6,27,0.2222222222222222
KY,all-surveys,"Madison County, KY",46 - 55,6,28,0.21428571428571427
MA,all-surveys,"Berkshire County House of Corrections, MA",36 - 45,6,24,0.25
MA,all-surveys,"Berkshire County House of Corrections, MA",46 - 55,6,24,0.25
MA,all-surveys,"Franklin County Jail, MA",36 - 45,6,14,0.42857142857142855
MA,all-surveys,"Hampshire County, MA",56 - 65,6,27,0.2222222222222222
MA,all-surveys,"Norfolk County Jail, MA",18 - 25,6,30,0.2
MA,all-surveys,"Suffolk County Jail, MA",18 - 25,6,70,0.08571428571428572
MI,all-surveys,"Genesee County, MI",18 - 25,6,33,0.18181818181818182
MI,all-surveys,"Monroe County Correctional System, MI",26 - 35,6,13,0.46153846153846156
MI,all-surveys,"Washtenaw County Jail, MI",18 - 25,6,24,0.25
MI,all-surveys,"Washtenaw County Jail, MI",36 - 45,6,24,0.25
MS,all-surveys,"Madison County Detention Center, MS",36 - 45,6,17,0.35294117647058826
NC,all-surveys,"Craven County Jail, NC",46 - 55,6,34,0.17647058823529413
NC,all-surveys,"New Hanover County Detention Center, NC",18 - 25,6,24,0.25
NC,all-surveys,"New Hanover County Detention Center, NC",36 - 45,6,24,0.25
NC,all-surveys,"Stanly County Jail, NC",26 - 35,6,14,0.42857142857142855
NJ,all-surveys,"Atlantic County Justice Facility, NJ",36 - 45,6,13,0.46153846153846156
NJ,all-surveys,Middlesex County NJ: Adult Correctional,26 - 35,6,16,0.375
NM,all-surveys,"Curry County Detention Center, NM",26 - 35,6,27,0.2222222222222222
NY,all-surveys,"Niagara County Correctional Facility, NY",46 - 55,6,48,0.125
NY,all-surveys,"Saratoga County Correctional Facility, NY",26 - 35,6,13,0.46153846153846156
NY,all-surveys,"Suffolk County, NY ",18 - 25,6,71,0.08450704225352113
OH,all-surveys,Corrections Center of NW Ohio,46 - 55,6,45,0.13333333333333333
OH,all-surveys,"Lorain County, OH ",18 - 25,6,45,0.13333333333333333
PA,all-surveys,"Adam County, PA - Adult Correctional Complex",26 - 35,6,15,0.4
PA,all-surveys,"Berks County Jail, PA",56 - 65,6,59,0.1016949152542373
PA,all-surveys,"Delaware County, PA",18 - 25,6,37,0.16216216216216217
PA,all-surveys,"Delaware County, PA",36 - 45,6,37,0.16216216216216217
PA,all-surveys,"Lackawana County, PA",56 - 65,6,116,0.05172413793103448
PA,all-surveys,"Montgomery County Correctional Facility, PA",46 - 55,6,93,0.06451612903225806
PA,all-surveys,"Northampton County Prison, PA",36 - 45,6,20,0.3
PA,all-surveys,"Northumberland County, PA",26 - 35,6,12,0.5
TN,all-surveys,"McMinn County Justice Center, TN",18 - 25,6,23,0.2608695652173913
TX,all-surveys,"GEO Group-Kinney County, TX",36 - 45,6,24,0.25
TX,all-surveys,"Jackson County, TX",36 - 45,6,10,0.6
TX,all-surveys,"Uvalde County, TX",36 - 45,6,12,0.5
VA,all-surveys,"Accommack County Jail, VA",36 - 45,6,13,0.46153846153846156
VA,all-surveys,"Pamunkey Regional Jail, VA",18 - 25,6,58,0.10344827586206896
VA,all-surveys,"Virginia Beach Correctional Facility, VA",56 - 65,6,109,0.05504587155963303
WI,all-surveys,"Rock County, WI",18 - 25,6,37,0.16216216216216217
WV,all-surveys,WV DCR Potomac Highlands Regional Jail,36 - 45,6,20,0.3
WV,all-surveys,WV DCR Southern Regional Jail,46 - 55,6,29,0.20689655172413793