state,answer_set,age,count,n_respondents,pct_of_respondents
0_ALL_STATES,all-surveys,36 - 45,15723,47053,0.3341551016938346
0_ALL_STATES,all-surveys,26 - 35,13563,47053,0.28824942086583216
0_ALL_STATES,all-surveys,46 - 55,8624,47053,0.18328268123180244
0_ALL_STATES,all-surveys,18 - 25,4289,47053,0.09115253012560304
0_ALL_STATES,all-surveys,56 - 65,3427,47053,0.07283276305442798
CA,all-surveys,36 - 45,2557,8068,0.316931085770947
CA,all-surveys,26 - 35,2260,8068,0.28011898859692613
AZ,all-surveys,36 - 45,2112,6256,0.3375959079283887
AZ,all-surveys,26 - 35,1850,6256,0.29571611253196933
CA,all-surveys,46 - 55,1658,8068,0.2055032226078334
NC,all-surveys,36 - 45,1657,5092,0.32541241162608014
NC,all-surveys,26 - 35,1430,5092,0.28083267871170464
AZ,all-surveys,46 - 55,1145,6256,0.18302429667519182
NC,all-surveys,46 - 55,994,5092,0.19520816967792615
OH,all-surveys,36 - 45,888,2631,0.33751425313568983
CA,all-surveys,56 - 65,777,8068,0.09630639563708478
WA,all-surveys,36 - 45,768,2269,0.3384750991626267
OH,all-surveys,26 - 35,724,2631,0.2751805397187381
WA,all-surveys,26 - 35,706,2269,0.31115028646981047
0_ALL_STATES,all-surveys,66+,705,47053,0.014983104159139693
OK,all-surveys,36 - 45,686,1872,0.36645299145299143
KY,all-surveys,36 - 45,570,1546,0.36869340232858994
AZ,all-surveys,18 - 25,536,6256,0.08567774936061381
OH,all-surveys,46 - 55,527,2631,0.20030406689471683
CA,all-surveys,18 - 25,492,8068,0.060981655924640554
OK,all-surveys,26 - 35,465,1872,0.2483974358974359
KY,all-surveys,26 - 35,459,1546,0.29689521345407505
AZ,all-surveys,56 - 65,425,6256,0.06793478260869565
PA,all-surveys,36 - 45,425,1326,0.32051282051282054
NC,all-surveys,18 - 25,424,5092,0.08326787117046347
NC,all-surveys,56 - 65,414,5092,0.08130400628436764
SC,all-surveys,36 - 45,413,1277,0.32341425215348474
PA,all-surveys,26 - 35,402,1326,0.3031674208144796
WV,all-surveys,36 - 45,402,1169,0.3438836612489307
AR,all-surveys,36 - 45,391,1126,0.347246891651865
OK,all-surveys,46 - 55,387,1872,0.20673076923076922
WA,all-surveys,46 - 55,386,2269,0.17011899515204937
TX,all-surveys,36 - 45,361,1076,0.3355018587360595
SC,all-surveys,26 - 35,353,1277,0.2764291307752545
TX,all-surveys,26 - 35,350,1076,0.3252788104089219
WV,all-surveys,26 - 35,342,1169,0.2925577416595381
AL,all-surveys,36 - 45,333,916,0.3635371179039301
IL,all-surveys,26 - 35,328,1021,0.32125367286973555
FL,all-surveys,36 - 45,324,906,0.3576158940397351
NY,all-surveys,26 - 35,323,989,0.32659251769464104
NY,all-surveys,36 - 45,319,989,0.3225480283114257
IL,all-surveys,36 - 45,292,1021,0.2859941234084231
OR,all-surveys,36 - 45,290,831,0.3489771359807461
NE,all-surveys,36 - 45,286,865,0.330635838150289
CO,all-surveys,36 - 45,283,699,0.40486409155937053
SC,all-surveys,46 - 55,273,1277,0.21378230227094752
KY,all-surveys,46 - 55,269,1546,0.17399741267787838
NE,all-surveys,26 - 35,269,865,0.3109826589595376
AR,all-surveys,46 - 55,257,1126,0.22824156305506216
FL,all-surveys,26 - 35,256,906,0.282560706401766
AR,all-surveys,26 - 35,253,1126,0.2246891651865009
VA,all-surveys,36 - 45,251,708,0.3545197740112994
MI,all-surveys,26 - 35,250,724,0.3453038674033149
OH,all-surveys,18 - 25,248,2631,0.09426073736221968
VA,all-surveys,26 - 35,232,708,0.327683615819209
MI,all-surveys,36 - 45,231,724,0.319060773480663
WV,all-surveys,46 - 55,226,1169,0.19332763045337895
PA,all-surveys,46 - 55,222,1326,0.167420814479638
OR,all-surveys,26 - 35,220,831,0.2647412755716005
AL,all-surveys,26 - 35,205,916,0.22379912663755458
AL,all-surveys,46 - 55,205,916,0.22379912663755458
CO,all-surveys,26 - 35,201,699,0.2875536480686695
SD,all-surveys,36 - 45,198,564,0.35106382978723405
PA,all-surveys,18 - 25,184,1326,0.138763197586727
MA,all-surveys,36 - 45,181,566,0.3197879858657244
CA,all-surveys,66+,180,8068,0.022310361923648984
WA,all-surveys,18 - 25,175,2269,0.07712648743940062
OH,all-surveys,56 - 65,173,2631,0.06575446598251615
OK,all-surveys,56 - 65,169,1872,0.09027777777777778
IL,all-surveys,18 - 25,168,1021,0.16454456415279137
MA,all-surveys,26 - 35,168,566,0.2968197879858657
OR,all-surveys,46 - 55,161,831,0.19374247894103488
SD,all-surveys,26 - 35,158,564,0.2801418439716312
WA,all-surveys,56 - 65,158,2269,0.06963420008814455
MD,all-surveys,36 - 45,153,469,0.326226012793177
TX,all-surveys,46 - 55,153,1076,0.1421933085501859
TX,all-surveys,18 - 25,152,1076,0.1412639405204461
0_ALL_STATES,all-surveys,"36 - 45, 46 - 55",149,47053,0.0031666418719316514
GA,all-surveys,36 - 45,148,458,0.3231441048034934
MD,all-surveys,26 - 35,148,469,0.31556503198294245
NY,all-surveys,18 - 25,147,989,0.1486349848331648
FL,all-surveys,46 - 55,146,906,0.16114790286975716
0_ALL_STATES,all-surveys,"26 - 35, 36 - 45",143,47053,0.003039126091853867
GA,all-surveys,26 - 35,143,458,0.31222707423580787
KY,all-surveys,18 - 25,140,1546,0.09055627425614489
NY,all-surveys,46 - 55,137,989,0.1385237613751264
NE,all-surveys,46 - 55,133,865,0.15375722543352602
IL,all-surveys,46 - 55,132,1021,0.12928501469147893
MT,all-surveys,36 - 45,130,416,0.3125
0_ALL_STATES,all-surveys,Under 18,127,47053,0.0026990840116464412
ME,all-surveys,36 - 45,120,327,0.3669724770642202
NJ,all-surveys,36 - 45,119,350,0.34
TN,all-surveys,26 - 35,116,344,0.3372093023255814
TN,all-surveys,36 - 45,114,344,0.3313953488372093
NJ,all-surveys,26 - 35,112,350,0.32
UT,all-surveys,36 - 45,108,288,0.375
AR,all-surveys,56 - 65,107,1126,0.09502664298401421
OK,all-surveys,18 - 25,107,1872,0.057158119658119656
SD,all-surveys,46 - 55,102,564,0.18085106382978725
VA,all-surveys,46 - 55,102,708,0.1440677966101695
MT,all-surveys,26 - 35,100,416,0.2403846153846154
SC,all-surveys,56 - 65,99,1277,0.07752545027407988
MI,all-surveys,46 - 55,98,724,0.13535911602209943
WV,all-surveys,18 - 25,98,1169,0.08383233532934131
NE,all-surveys,18 - 25,97,865,0.11213872832369942
SC,all-surveys,18 - 25,97,1277,0.0759592795614722
IN,all-surveys,36 - 45,96,308,0.3116883116883117
AZ,all-surveys,66+,95,6256,0.01518542199488491
IN,all-surveys,26 - 35,94,308,0.3051948051948052
ME,all-surveys,26 - 35,94,327,0.2874617737003058
FL,all-surveys,18 - 25,93,906,0.10264900662251655
WI,all-surveys,36 - 45,91,269,0.3382899628252788
CO,all-surveys,18 - 25,89,699,0.12732474964234622
CO,all-surveys,46 - 55,89,699,0.12732474964234622
KY,all-surveys,56 - 65,89,1546,0.057567917205692105
NM,all-surveys,36 - 45,88,255,0.34509803921568627
MT,all-surveys,46 - 55,87,416,0.2091346153846154
NM,all-surveys,26 - 35,86,255,0.33725490196078434
0_ALL_STATES,all-surveys,"46 - 55, 56 - 65",85,47053,0.0018064735511019489
AL,all-surveys,56 - 65,85,916,0.0927947598253275
MA,all-surveys,18 - 25,83,566,0.14664310954063603
NC,all-surveys,66+,83,5092,0.016300078554595445
VA,all-surveys,18 - 25,82,708,0.11581920903954802
MI,all-surveys,18 - 25,80,724,0.11049723756906077
MA,all-surveys,46 - 55,79,566,0.13957597173144876
WV,all-surveys,56 - 65,77,1169,0.0658682634730539
GA,all-surveys,18 - 25,76,458,0.16593886462882096
MD,all-surveys,46 - 55,72,469,0.1535181236673774
PA,all-surveys,56 - 65,71,1326,0.053544494720965306
UT,all-surveys,26 - 35,71,288,0.2465277777777778
OR,all-surveys,18 - 25,70,831,0.0842358604091456
0_ALL_STATES,all-surveys,"18 - 25, 26 - 35",69,47053,0.0014664314708945233
AR,all-surveys,18 - 25,69,1126,0.06127886323268206
OR,all-surveys,56 - 65,67,831,0.08062575210589651
FL,all-surveys,56 - 65,65,906,0.0717439293598234
WI,all-surveys,26 - 35,65,269,0.241635687732342
NH,all-surveys,26 - 35,64,201,0.31840796019900497
GA,all-surveys,46 - 55,63,458,0.13755458515283842
NH,all-surveys,36 - 45,61,201,0.3034825870646766
AL,all-surveys,18 - 25,60,916,0.06550218340611354
MO,all-surveys,36 - 45,59,186,0.3172043010752688
NE,all-surveys,56 - 65,57,865,0.06589595375722543
MO,all-surveys,26 - 35,56,186,0.3010752688172043
WI,all-surveys,46 - 55,55,269,0.20446096654275092
MD,all-surveys,18 - 25,54,469,0.11513859275053305
UT,all-surveys,46 - 55,54,288,0.1875
NJ,all-surveys,18 - 25,53,350,0.15142857142857144
TN,all-surveys,46 - 55,50,344,0.14534883720930233
SD,all-surveys,56 - 65,49,564,0.08687943262411348
IN,all-surveys,46 - 55,48,308,0.15584415584415584
ME,all-surveys,46 - 55,48,327,0.14678899082568808
NJ,all-surveys,46 - 55,48,350,0.13714285714285715
KS,all-surveys,26 - 35,46,122,0.3770491803278688
IL,all-surveys,56 - 65,45,1021,0.04407443682664055
IN,all-surveys,18 - 25,45,308,0.1461038961038961
WA,all-surveys,66+,43,2269,0.01895107977082415
SD,all-surveys,18 - 25,41,564,0.0726950354609929
NH,all-surveys,46 - 55,40,201,0.19900497512437812
NY,all-surveys,56 - 65,40,989,0.04044489383215369
DC,all-surveys,26 - 35,39,83,0.46987951807228917
MT,all-surveys,18 - 25,39,416,0.09375
OH,all-surveys,66+,39,2631,0.014823261117445839
MI,all-surveys,56 - 65,38,724,0.052486187845303865
MT,all-surveys,56 - 65,38,416,0.09134615384615384
TN,all-surveys,18 - 25,38,344,0.11046511627906977
WI,all-surveys,18 - 25,38,269,0.1412639405204461
MO,all-surveys,18 - 25,37,186,0.1989247311827957
TX,all-surveys,56 - 65,37,1076,0.03438661710037175
MD,all-surveys,56 - 65,36,469,0.0767590618336887
MA,all-surveys,56 - 65,35,566,0.061837455830388695
VA,all-surveys,56 - 65,35,708,0.04943502824858757
NM,all-surveys,18 - 25,34,255,0.13333333333333333
AR,all-surveys,66+,33,1126,0.02930728241563055
CA,all-surveys,"36 - 45, 46 - 55",32,8068,0.0039662865642042635
OK,all-surveys,66+,32,1872,0.017094017094017096
UT,all-surveys,18 - 25,32,288,0.1111111111111111
KS,all-surveys,36 - 45,31,122,0.2540983606557377
IA,all-surveys,36 - 45,29,81,0.35802469135802467
ME,all-surveys,56 - 65,28,327,0.0856269113149847
MS,all-surveys,26 - 35,28,90,0.3111111111111111
MS,all-surveys,36 - 45,28,90,0.3111111111111111
NM,all-surveys,46 - 55,28,255,0.10980392156862745
ND,all-surveys,36 - 45,27,75,0.36
0_ALL_STATES,all-surveys,"56 - 65, 66+",26,47053,0.0005525683803370667
CA,all-surveys,Under 18,26,8068,0.0032226078334159644
TN,all-surveys,56 - 65,25,344,0.07267441860465117
CA,all-surveys,"26 - 35, 36 - 45",24,8068,0.002974714923153198
CA,all-surveys,"46 - 55, 56 - 65",24,8068,0.002974714923153198
IN,all-surveys,56 - 65,24,308,0.07792207792207792
LA,all-surveys,36 - 45,24,83,0.2891566265060241
LA,all-surveys,46 - 55,23,83,0.27710843373493976
SC,all-surveys,66+,23,1277,0.018010963194988253
CO,all-surveys,56 - 65,22,699,0.031473533619456366
NC,all-surveys,"36 - 45, 46 - 55",22,5092,0.00432050274941084
AZ,all-surveys,"26 - 35, 36 - 45",21,6256,0.003356777493606138
GA,all-surveys,56 - 65,21,458,0.04585152838427948
KS,all-surveys,46 - 55,21,122,0.1721311475409836
MO,all-surveys,46 - 55,21,186,0.11290322580645161
DC,all-surveys,36 - 45,20,83,0.24096385542168675
IA,all-surveys,26 - 35,20,81,0.24691358024691357
ME,all-surveys,18 - 25,20,327,0.06116207951070336
ND,all-surveys,26 - 35,20,75,0.26666666666666666
NV,all-surveys,36 - 45,20,40,0.5
IL,all-surveys,66+,18,1021,0.01762977473065622
LA,all-surveys,26 - 35,18,83,0.21686746987951808
MS,all-surveys,46 - 55,18,90,0.2
ND,all-surveys,46 - 55,18,75,0.24
AZ,all-surveys,"36 - 45, 46 - 55",17,6256,0.002717391304347826
DC,all-surveys,18 - 25,16,83,0.1927710843373494
IA,all-surveys,46 - 55,16,81,0.19753086419753085
NJ,all-surveys,56 - 65,16,350,0.045714285714285714
WI,all-surveys,56 - 65,16,269,0.05947955390334572
0_ALL_STATES,all-surveys,"18 - 25, Under 18",15,47053,0.00031878945019446156
AZ,all-surveys,"18 - 25, 26 - 35",15,6256,0.00239769820971867
ID,all-surveys,46 - 55,15,38,0.39473684210526316
KS,all-surveys,18 - 25,15,122,0.12295081967213115
NC,all-surveys,"46 - 55, 56 - 65",15,5092,0.002945797329143755
UT,all-surveys,56 - 65,15,288,0.052083333333333336
0_ALL_STATES,all-surveys,"18 - 25, 36 - 45",14,47053,0.00029753682018149747
AL,all-surveys,66+,14,916,0.015283842794759825
NC,all-surveys,"26 - 35, 36 - 45",14,5092,0.0027494108405341712
NH,all-surveys,18 - 25,14,201,0.06965174129353234
NM,all-surveys,56 - 65,14,255,0.054901960784313725
0_ALL_STATES,all-surveys,"26 - 35, 66+",13,47053,0.00027628419016853333
KY,all-surveys,66+,13,1546,0.008408796895213453
MT,all-surveys,66+,13,416,0.03125
NH,all-surveys,56 - 65,13,201,0.06467661691542288
OK,all-surveys,"36 - 45, 46 - 55",13,1872,0.006944444444444444
0_ALL_STATES,all-surveys,"36 - 45, 66+",12,47053,0.00025503156015556925
AZ,all-surveys,Under 18,12,6256,0.0019181585677749361
MN,all-surveys,36 - 45,12,34,0.35294117647058826
RI,all-surveys,26 - 35,12,32,0.375
RI,all-surveys,36 - 45,12,32,0.375
CA,all-surveys,"18 - 25, 26 - 35",11,8068,0.0013634110064452156
ID,all-surveys,36 - 45,11,38,0.2894736842105263
LA,all-surveys,56 - 65,11,83,0.13253012048192772
ME,all-surveys,66+,11,327,0.03363914373088685
MI,all-surveys,66+,11,724,0.015193370165745856
OR,all-surveys,66+,11,831,0.013237063778580024
0_ALL_STATES,2024-002,36 - 45,8011,23353,0.34303943818781313
0_ALL_STATES,2024-002,26 - 35,6348,23353,0.2718280306598724
0_ALL_STATES,2024-002,46 - 55,4618,23353,0.1977476127264163
0_ALL_STATES,2024-002,18 - 25,2031,23353,0.08696955423286087
0_ALL_STATES,2024-002,56 - 65,1853,23353,0.07934740718537232
CA,2024-002,36 - 45,1242,3756,0.3306709265175719
CA,2024-002,26 - 35,930,3756,0.2476038338658147
AZ,2024-002,36 - 45,872,2505,0.34810379241516964
CA,2024-002,46 - 55,854,3756,0.2273695420660277
NC,2024-002,36 - 45,799,2531,0.31568549980244964
AZ,2024-002,26 - 35,693,2505,0.27664670658682633
NC,2024-002,26 - 35,673,2531,0.2659028052153299
NC,2024-002,46 - 55,580,2531,0.22915843540102726
AZ,2024-002,46 - 55,504,2505,0.20119760479041915
OH,2024-002,36 - 45,432,1256,0.34394904458598724
CA,2024-002,56 - 65,426,3756,0.1134185303514377
OK,2024-002,36 - 45,374,982,0.38085539714867617
0_ALL_STATES,2024-002,66+,365,23353,0.015629683552434378
OH,2024-002,26 - 35,321,1256,0.25557324840764334
WA,2024-002,36 - 45,320,891,0.35914702581369246
FL,2024-002,36 - 45,276,769,0.3589076723016905
OH,2024-002,46 - 55,273,1256,0.21735668789808918
PA,2024-002,36 - 45,266,823,0.32320777642770354
WA,2024-002,26 - 35,261,891,0.29292929292929293
PA,2024-002,26 - 35,246,823,0.29890643985419196
WV,2024-002,36 - 45,235,681,0.34508076358296624
NC,2024-002,56 - 65,231,2531,0.09126827340971948
OK,2024-002,46 - 55,229,982,0.23319755600814665
OK,2024-002,26 - 35,225,982,0.22912423625254583
FL,2024-002,26 - 35,215,769,0.2795838751625488
NY,2024-002,36 - 45,212,616,0.34415584415584416
AZ,2024-002,18 - 25,198,2505,0.07904191616766468
NC,2024-002,18 - 25,196,2531,0.07743974713551956
NY,2024-002,26 - 35,196,616,0.3181818181818182
SC,2024-002,36 - 45,196,612,0.3202614379084967
CA,2024-002,18 - 25,192,3756,0.051118210862619806
WV,2024-002,26 - 35,192,681,0.28193832599118945
TX,2024-002,36 - 45,189,562,0.33629893238434166
IL,2024-002,26 - 35,186,594,0.31313131313131315
IL,2024-002,36 - 45,186,594,0.31313131313131315
AZ,2024-002,56 - 65,185,2505,0.07385229540918163
TX,2024-002,26 - 35,184,562,0.3274021352313167
OR,2024-002,36 - 45,180,492,0.36585365853658536
AL,2024-002,36 - 45,176,454,0.3876651982378855
NE,2024-002,36 - 45,175,480,0.3645833333333333
WA,2024-002,46 - 55,174,891,0.19528619528619529
VA,2024-002,36 - 45,168,454,0.3700440528634361
SC,2024-002,26 - 35,161,612,0.2630718954248366
CO,2024-002,36 - 45,154,375,0.4106666666666667
AR,2024-002,36 - 45,149,378,0.3941798941798942
PA,2024-002,46 - 55,145,823,0.17618469015795868
MD,2024-002,36 - 45,142,441,0.3219954648526077
MI,2024-002,36 - 45,142,399,0.3558897243107769
VA,2024-002,26 - 35,139,454,0.30616740088105726
WV,2024-002,46 - 55,138,681,0.2026431718061674
MD,2024-002,26 - 35,137,441,0.31065759637188206
SC,2024-002,46 - 55,137,612,0.2238562091503268
MI,2024-002,26 - 35,132,399,0.3308270676691729
NE,2024-002,26 - 35,127,480,0.26458333333333334
FL,2024-002,46 - 55,126,769,0.16384915474642392
TN,2024-002,26 - 35,116,344,0.3372093023255814
